SA2,SA2 Name,ABSTUDY (Living allowance),ABSTUDY (Non-living allowance),Age Pension,Austudy,Carer Allowance,Carer Allowance (Child Health Care Card only),Carer Payment,Commonwealth Seniors Health Card,Disability Support Pension,Family Tax Benefit A,Family Tax Benefit B,Health Care Card,Low Income Card,Newstart Allowance,Parenting Payment Partnered,Parenting Payment Single,Partner Allowance,Pensioner Concession Card,Sickness Allowance,Special Benefit,Widow Allowance,Widow B Pension,Wife Pension (Partner on Age Pension),Wife Pension (Partner on Disability Support Pension),Youth Allowance (other),Youth Allowance (student and apprentice),Commonwealth Rent Assistance (income units),,,,,,,,,,,,,,,,,,,,,
11030,Calga - Kulnura,<5,0,403,5,93,<5,47,113,149,225,160,140,24,109,9,32,0,711,<5,0,<5,0,0,<5,8,9,217,,,,,,,,,,,,,,,,,,,,,
11031,Erina - Green Point,<5,6,"2,699",13,366,6,119,418,458,560,409,465,107,232,17,71,0,"3,594",<5,0,8,0,<5,<5,32,72,"1,111",,,,,,,,,,,,,,,,,,,,,
11032,Gosford - Springfield,8,14,"2,327",34,452,14,168,239,"1,022","1,237","1,032","1,108",221,768,48,243,0,"4,261",9,6,10,0,<5,<5,115,145,"1,757",,,,,,,,,,,,,,,,,,,,,
11033,Kariong,23,<5,403,<5,158,5,55,37,159,428,339,288,63,119,9,67,<5,783,<5,<5,<5,0,0,0,20,37,210,,,,,,,,,,,,,,,,,,,,,
11034,Kincumber - Picketts Valley,<5,<5,"1,578",9,231,5,83,189,259,409,321,280,64,173,12,50,0,"2,125",<5,<5,5,0,<5,<5,23,34,297,,,,,,,,,,,,,,,,,,,,,
11035,Narara,5,6,634,5,192,6,74,76,219,472,347,364,74,174,9,77,0,"1,128",0,<5,<5,0,<5,0,41,43,282,,,,,,,,,,,,,,,,,,,,,
11036,Niagara Park - Lisarow,5,6,821,10,218,7,73,102,228,494,353,356,74,146,15,63,<5,"1,294",<5,0,<5,0,0,<5,27,46,276,,,,,,,,,,,,,,,,,,,,,
11037,Point Clare - Koolewong,<5,<5,951,9,152,<5,44,180,186,293,231,224,47,155,9,41,0,"1,347",<5,0,<5,0,0,0,24,24,340,,,,,,,,,,,,,,,,,,,,,
11038,Saratoga - Davistown,7,<5,994,9,167,7,49,201,149,363,270,254,61,107,12,64,0,"1,380",<5,0,<5,0,0,<5,11,40,222,,,,,,,,,,,,,,,,,,,,,
11039,Terrigal - North Avoca,<5,<5,"1,441",22,214,6,73,363,227,559,421,442,110,201,8,77,<5,"2,011",<5,<5,6,0,0,0,30,83,718,,,,,,,,,,,,,,,,,,,,,
11040,Umina - Booker Bay - Patonga,10,20,"4,252",26,832,13,352,553,"1,073","1,565","1,295","1,261",223,947,80,353,<5,"6,785",5,<5,25,0,5,6,114,110,"2,512",,,,,,,,,,,,,,,,,,,,,
11041,Wamberal - Forresters Beach,<5,<5,"1,037",12,187,7,53,276,152,464,327,306,77,138,10,80,<5,"1,484",<5,0,<5,0,<5,0,20,56,326,,,,,,,,,,,,,,,,,,,,,
11042,Woy Woy - Blackwall,9,16,"2,683",20,566,12,264,263,854,918,750,802,139,568,40,215,<5,"4,429",11,<5,13,0,<5,8,86,64,"1,292",,,,,,,,,,,,,,,,,,,,,
11043,Wyoming,<5,7,"1,823",23,361,9,122,173,463,820,662,624,126,373,31,157,<5,"2,837",<5,<5,8,0,<5,5,63,70,631,,,,,,,,,,,,,,,,,,,,,
11044,Bateau Bay - Killarney Vale,7,20,"3,425",28,766,15,338,306,905,"1,574","1,246","1,101",196,686,46,297,<5,"5,520",13,<5,9,0,<5,10,111,108,"1,514",,,,,,,,,,,,,,,,,,,,,
11045,Blue Haven - San Remo,7,31,"1,190",8,590,20,267,43,565,"1,257","1,031",886,109,502,56,307,0,"2,668",5,<5,7,0,5,<5,109,48,981,,,,,,,,,,,,,,,,,,,,,
11046,Budgewoi - Buff Point - Halekulani,5,13,"1,810",8,433,5,195,108,439,699,560,558,94,388,29,164,<5,"2,886",<5,0,6,0,<5,<5,78,41,"1,091",,,,,,,,,,,,,,,,,,,,,
11047,Chittaway Bay - Tumbi Umbi,7,9,"1,901",14,428,12,165,259,417,"1,038",783,754,164,388,24,164,0,"2,974",5,<5,9,0,<5,<5,63,71,719,,,,,,,,,,,,,,,,,,,,,
11048,Gorokan - Kanwal - Charmhaven,14,39,"3,625",26,"1,036",22,492,175,"1,331","1,859","1,570","1,532",205,"1,018",63,452,5,"6,548",9,<5,16,0,8,9,198,114,"2,246",,,,,,,,,,,,,,,,,,,,,
11049,Jilliby - Yarramalong,<5,<5,225,<5,61,<5,21,79,94,150,102,205,23,153,7,20,0,443,<5,0,<5,0,<5,0,15,20,220,,,,,,,,,,,,,,,,,,,,,
11050,Lake Munmorah - Mannering Park,8,8,"2,776",6,534,10,237,106,457,717,579,505,90,352,23,143,<5,"3,870",<5,0,7,0,5,<5,39,38,"1,876",,,,,,,,,,,,,,,,,,,,,
11051,Ourimbah - Fountaindale,<5,<5,424,7,109,<5,36,57,144,272,204,228,65,100,7,33,0,702,<5,0,<5,0,0,<5,13,46,223,,,,,,,,,,,,,,,,,,,,,
11052,Summerland Point - Gwandalan,<5,7,"1,016",<5,253,5,121,108,254,427,322,269,31,198,15,86,0,"1,630",<5,0,5,0,<5,<5,23,23,396,,,,,,,,,,,,,,,,,,,,,
11053,The Entrance,7,16,"2,687",27,543,8,275,360,921,"1,118",970,"1,056",175,886,39,277,0,"4,784",7,0,16,0,<5,<5,106,77,"2,097",,,,,,,,,,,,,,,,,,,,,
11054,Toukley - Norah Head,<5,12,"1,906",8,366,7,172,181,606,675,562,519,79,380,33,164,0,"3,145",<5,<5,<5,0,<5,<5,62,28,"1,264",,,,,,,,,,,,,,,,,,,,,
11055,Tuggerah - Kangy Angy,<5,<5,540,5,187,6,62,48,148,380,289,327,65,152,12,57,0,917,<5,0,<5,0,<5,0,25,33,376,,,,,,,,,,,,,,,,,,,,,
11056,Warnervale - Wadalba,5,17,"1,738",8,561,20,203,147,505,"1,301","1,034",921,148,362,43,271,<5,"3,006",<5,0,5,0,6,<5,73,74,"1,214",,,,,,,,,,,,,,,,,,,,,
11057,Wyong,6,20,"1,138",18,416,10,224,105,706,785,661,702,120,516,42,197,<5,"2,614",<5,<5,7,0,<5,<5,101,59,"1,036",,,,,,,,,,,,,,,,,,,,,
